note,current_folder,proposed_folder,confidence,reason
Apple Notes/Old & Admin/Agility Notes/Diverse/RE User Engagement Observations Chennai 27-29 Jan 2016.docx.md,Apple Notes,Personal,0.65,keywords=family
"Apple Notes/Old & Admin/Agility Notes/Diverse/RE User Engagment 3 Mumbai 8th, 9th 10th March 2016.md",Apple Notes,Meetings,0.53,keywords=meeting
Apple Notes/Old & Admin/Agility Notes/Diverse/RE Visit & Transformation Update.md,Apple Notes,Meetings,0.73,"keywords=agenda,meeting"
Apple Notes/Old & Admin/Agility Notes/Diverse/RE Wednessday.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/RE local requirements tracker.md,Apple Notes,Projects,0.53,keywords=project
Apple Notes/Old & Admin/Agility Notes/Diverse/RE need another report.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/RMG & Implementation - STC out - 14.08.2014.md,Apple Notes,Customers,0.81,"keywords=account,customer,stakeholder"
Apple Notes/Old & Admin/Agility Notes/Diverse/RMG - MDM Update Karl (Baar) STC June 2014.md,Apple Notes,Projects,0.73,"keywords=delivery,plan"
Apple Notes/Old & Admin/Agility Notes/Diverse/RMG Discussion 24.11.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/RMG Topics with Karl in Basel.md,Apple Notes,Meetings,0.65,keywords=workshop
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate Collection Workhop Air (LHR) Day 1.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate Collection Workshop Ocean (LHR) Day 1.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate Collection Workshop Ocean (LHR) Day 2.md,Apple Notes,Customers,0.61,"keywords=account,customer"
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate collection worksshop Air CN IN Day 1 (HKG) - 28.07.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate collection worksshop Air CN IN Day 2 (HKG) - 29.07.2014.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate collection worksshop Ocean CN IN Day 1 (HKG) - 24.07.2014.md,Apple Notes,Ideas,0.73,"keywords=concept,draft"
Apple Notes/Old & Admin/Agility Notes/Diverse/Rate collection worksshop Ocean CN IN Day 2 (HKG) - 2.07.2014.md,Apple Notes,DPWorld,0.73,"keywords=port,terminal"
Apple Notes/Old & Admin/Agility Notes/Diverse/Re Half hour discussion on Job Numbering.md,Apple Notes,Ideas,0.53,keywords=proposal
Apple Notes/Old & Admin/Agility Notes/Diverse/Request for a video mini workshop - on terms and conditions.md,Apple Notes,Meetings,0.73,"keywords=meeting,workshop"
Apple Notes/Old & Admin/Agility Notes/Diverse/Requirement Lists F2C & C2F Scenarios.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Roles & Department (HYD).md,Apple Notes,Meetings,0.53,keywords=workshop
Apple Notes/Old & Admin/Agility Notes/Diverse/Roles - Discussion (Basel) 25.06.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Russia FOCiS Quotation Module Implementation.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/Old & Admin/Agility Notes/Diverse/SBRS discussion summary.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/SC Doc - v 3.5.md,Apple Notes,Personal,0.53,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/SC June 2014 - Minutes & Reference documents.md,Apple Notes,Meetings,0.93,"keywords=agenda,meeting,minutes"
Apple Notes/Old & Admin/Agility Notes/Diverse/SC Overview (Steve intro).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/SC Take-aways June 2014.md,Apple Notes,Projects,0.73,"keywords=delivery,plan"
Apple Notes/Old & Admin/Agility Notes/Diverse/SJC Update (Venky) STC Baar June 2014.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/SJC-OPS subject status tracker v 1 2-18 JUN 2014.xlsx.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/SMDM Discussion 24.06 HYD.md,Apple Notes,Customers,0.73,"keywords=customer,stakeholder"
Apple Notes/Old & Admin/Agility Notes/Diverse/SMDM Implementation.md,Apple Notes,Customers,0.65,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/SMDM Lite + OFAB.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/SMDM.md,Apple Notes,Customers,0.53,keywords=stakeholder
Apple Notes/Old & Admin/Agility Notes/Diverse/SSRM Update (Baar) STC Rushabh June 2013.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Sample Job Workshop (Irvine) - Day 1 14.07.2014.md,Apple Notes,Meetings,0.53,keywords=workshop
Apple Notes/Old & Admin/Agility Notes/Diverse/Sample Job Workshop (Irvine) - Day 2 14.07.2014.md,Apple Notes,Projects,0.53,keywords=plan
Apple Notes/Old & Admin/Agility Notes/Diverse/Sample Job.md,Apple Notes,DPWorld,0.73,"keywords=cargo,shipping"
Apple Notes/Old & Admin/Agility Notes/Diverse/Scenario 1.md,Apple Notes,Customers,0.65,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Scrum of Scrums Agenda Input - By Friday May 27th.md,Apple Notes,Meetings,0.73,"keywords=agenda,meeting"
Apple Notes/Old & Admin/Agility Notes/Diverse/Seaquest Issue.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Shared Service Overview Sid.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Skitch Image from Pfeffingen.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Snapshot @ Basel, Basel-Stadt.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Snapshot from 1900 NW 2nd Ave in Wilton Manors.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Snapshot.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/SoS & TLT meeting June 6-10, 2016 - Baar - Basic logistics.md",Apple Notes,Meetings,0.53,keywords=meeting
Apple Notes/Old & Admin/Agility Notes/Diverse/SoS & TLT presentation - June 2016.md,Apple Notes,Projects,0.53,keywords=plan
Apple Notes/Old & Admin/Agility Notes/Diverse/Standard Implementation QM deck.md,Apple Notes,Meetings,0.85,"keywords=agenda,workshop"
Apple Notes/Old & Admin/Agility Notes/Diverse/Standardising Job Families - Titels.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Stc march 2015.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Steve Baar 19.09.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Steve Update 6.03.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/Old & Admin/Agility Notes/Diverse/Sunntig Mäntig Zieschtig Mittwuch Donnstig Fritig Samstig total.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Survey Links for  preview.md,Apple Notes,Personal,0.65,keywords=family
"Apple Notes/Old & Admin/Agility Notes/Diverse/System Performance, Manual Time Motions, Diffrence auto vs manual.md",Apple Notes,Reference,0.65,keywords=manual
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT Agenda December.md,Apple Notes,Projects,0.61,"keywords=plan,project"
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT Call 15.10.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT Call Brasil and Imp QM + NPC Escalation.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT Communications - raising the bar.md,Apple Notes,Meetings,0.53,keywords=workshop
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT March meeting - PPTs.md,Apple Notes,Meetings,0.53,keywords=meeting
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT Recap.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/TLT call - August 13, 2014.md",Apple Notes,Meetings,0.53,keywords=agenda
"Apple Notes/Old & Admin/Agility Notes/Diverse/TLT call - July 2, 2014.md",Apple Notes,Projects,0.53,keywords=delivery
Apple Notes/Old & Admin/Agility Notes/Diverse/TLT call 24.10.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/TLX.md,Apple Notes,Customers,0.65,keywords=customer
"Apple Notes/Old & Admin/Agility Notes/Diverse/TX Org Chart consolidated - v1.0 - Jun 14, 2015.pptx.md",Apple Notes,Projects,0.65,keywords=project
Apple Notes/Old & Admin/Agility Notes/Diverse/Takeaway-Agreement Day1  TLT (Baar) - 09.06.2014.md,Apple Notes,Projects,0.53,keywords=plan
Apple Notes/Old & Admin/Agility Notes/Diverse/Task.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/Tasks and Dependencies for the PP.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Team Meeting 23.06.2016 (Zoom).md,Apple Notes,Meetings,0.73,"keywords=meeting,workshop"
Apple Notes/Old & Admin/Agility Notes/Diverse/Test Creation of New Note.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/To Do's.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Training ATM Video Lost-Won JP.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Training dianne.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Tranformation.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/Trans SC Agenda-Review Doc.md,Apple Notes,Meetings,0.53,keywords=agenda
Apple Notes/Old & Admin/Agility Notes/Diverse/Transformation Report_FCL_(Oracle_Countries)V2 1_31052016.xlsx.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Transformation STC (Baar) June 2014 - Day 1.md,Apple Notes,Customers,0.53,keywords=stakeholder
Apple Notes/Old & Admin/Agility Notes/Diverse/UAE - Notes on QM Beta update call.md,Apple Notes,Customers,0.73,"keywords=customer,stakeholder"
Apple Notes/Old & Admin/Agility Notes/Diverse/UAE 18.03.2015.md,Apple Notes,Meetings,0.65,keywords=agenda
Apple Notes/Old & Admin/Agility Notes/Diverse/UAE- Minutes.md,Apple Notes,Customers,0.53,keywords=stakeholder
Apple Notes/Old & Admin/Agility Notes/Diverse/UE 2017.md,Apple Notes,Ideas,0.85,"keywords=concept,draft"
Apple Notes/Old & Admin/Agility Notes/Diverse/UE UK Thurrock.md,Apple Notes,Customers,0.53,keywords=stakeholder
Apple Notes/Old & Admin/Agility Notes/Diverse/UK Pre-Implementation Brainstorming (BIH) 20.05.2014.md,Apple Notes,Meetings,0.53,keywords=agenda
Apple Notes/Old & Admin/Agility Notes/Diverse/UK engagement Manchester.md,Apple Notes,Projects,0.85,"keywords=delivery,plan"
Apple Notes/Old & Admin/Agility Notes/Diverse/US.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/USA - Notes on QM Beta update call.md,Apple Notes,Projects,0.61,"keywords=delivery,plan"
Apple Notes/Old & Admin/Agility Notes/Diverse/USC - FOCiS Dept.md,Apple Notes,Projects,0.53,keywords=project
Apple Notes/Old & Admin/Agility Notes/Diverse/USC Audit Discussion Outcome.md,Apple Notes,Meetings,0.53,keywords=workshop
Apple Notes/Old & Admin/Agility Notes/Diverse/USC DQ Audit - AES Action Items.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/USC and Departments.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Uat Qm Call.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Unique Site Code PA v5.xlsx.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/Update 21.11.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Update 22.07.2014.md,Apple Notes,Reference,0.65,keywords=documentation
Apple Notes/Old & Admin/Agility Notes/Diverse/Update Call  -QM.md,Apple Notes,Customers,0.73,"keywords=client,stakeholder"
Apple Notes/Old & Admin/Agility Notes/Diverse/Update with Colm (Full Time Team Member).md,Apple Notes,Projects,0.65,keywords=project
Apple Notes/Old & Admin/Agility Notes/Diverse/User Engagement Observations Chennai 27-29 Jan 2016.docx.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/User Engagment Overview.pptx.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Old & Admin/Agility Notes/Diverse/User engagement 2.md,Apple Notes,Customers,0.53,keywords=customer
Apple Notes/Old & Admin/Agility Notes/Diverse/VAT India.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/We not changing the system, we just changing the view..md",Apple Notes,Customers,0.65,keywords=stakeholder
Apple Notes/Old & Admin/Agility Notes/Diverse/Weekly Roll.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/West Thurrock SPC process walk through 21.05.2014.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Who does what for until QM UAT.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Won lost.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 01-03-16 0909.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 01-09-16 1046.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 01.06.18, 0914.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 01.06.18, 1001.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 01.12.16, 0856.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 02.11.17, 1315.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 03-08-16 1544.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 03.04.17, 1020.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 03.04.17, 2008.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 03.09.18, 0746.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 04.10.17, 1453.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 04.10.17, 1454.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 05-05-15 0944.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 05.03.18, 1835.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 05.06.18, 0903.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 05.09.17, 1416.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 05.12.16, 1006.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 06-06-16 1313.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 06.03.17, 1324.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 06.09.17, 1018.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 06.11.18, 1602.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 07.03.17, 1022.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 07.08.17, 0938.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 07.12.17, 1808.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 07.12.17, 2001.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 08-06-16 1018.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 08.05.18, 0900.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 08.11.16, 1003.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10-06-15 1919.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10-06-16 1858.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.01.18, 2026.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.04.17, 0906.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.07.17, 1725.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.08.18, 1755.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.09.18, 1407.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.11.16, 1317.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.11.17, 0835.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 10.11.17, 1106.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 11.05.18, 1002.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 11.08.17, 1650.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 11.09.17, 1158.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 12.04.18, 0845.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13-09-16 1544.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.07.17, 0947.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.07.17, 1137.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.09.17, 0951.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.09.18, 1019.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.09.18, 1354.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.11.17, 1332.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.11.18, 1208.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 13.12.17, 1256.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 14-09-16 1000.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 14.05.18, 0935.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 14.06.17, 1005.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 14.11.16, 1049.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 14.11.17, 1106.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 15.09.17, 0923.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 15.09.17, 1440.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16-06-15 1934.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16-08-16 0931.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16.01.18, 1255.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16.05.18, 0838.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16.08.18, 1659.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16.09.16, 1600.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 16.11.16, 1311.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 17.04.18, 1034.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 17.08.17, 1123.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 17.08.17, 1721.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 17.11.17, 1615.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 18-08-16 1026.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 18.09.17, 1503.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 18.09.18, 1213.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 19-08-16 0956.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 19.11.18, 0914.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 20-04-15 1235.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 20.02.18, 1346.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 20.03.17, 1108.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 20.08.17, 2015.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 20.09.16, 0930.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21-05-15 1847.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21-06-16 1350.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21.08.18, 1504.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21.09.16, 0902.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21.09.17, 2136.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21.09.18, 1007.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 21.11.16, 1602.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22-02-16 0858.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22-04-15 1002.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22-05-15 1343.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22-08-16 1053.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22.03.17, 1007.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22.05.18, 1339.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22.08.17, 1030.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 22.11.16, 0943.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23-08-16 1508.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23.01.17, 0955.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23.04.18, 1343.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23.05.18, 1734.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23.07.18, 1209.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23.09.17, 1431.md",Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 23.10.17, 0955.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 24-06-16 1106.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 24-06-16 1510.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Old & Admin/Agility Notes/Diverse/Written 24-08-16 1042.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Old & Admin/Agility Notes/Diverse/Written 24.10.17, 1956.md",Apple Notes,Reference,0.47,fallback-reference
